     Datum,        Gewinnzahlen,,,,,,Super6
03.01.2018,45,10,34,31,15,35,8
06.01.2018,37,47,46,32,5,14,0
10.01.2018,24,25,3,45,22,43,6
13.01.2018,14,31,48,6,5,16,0
17.01.2018,32,48,13,3,27,25,2
20.01.2018,3,45,11,33,18,15,4
24.01.2018,37,5,45,31,18,3,7
27.01.2018,34,24,22,43,4,36,6
31.01.2018,6,26,3,38,8,29,8
03.02.2018,5,39,48,13,20,9,5
07.02.2018,15,41,28,20,25,33,5
10.02.2018,27,41,45,20,17,35,8
14.02.2018,22,16,20,23,24,6,6
17.02.2018,27,15,42,37,18,26,2
21.02.2018,29,47,6,8,40,3,7
24.02.2018,27,33,41,18,44,47,6
28.02.2018,6,15,32,43,47,36,6
03.03.2018,5,37,28,44,24,40,8
07.03.2018,5,30,28,35,24,42,1
10.03.2018,40,34,8,49,35,19,8
14.03.2018,18,48,13,38,30,45,7
17.03.2018,7,29,1,22,17,46,7
21.03.2018,38,48,26,29,20,43,0
24.03.2018,16,27,34,3,42,45,1
28.03.2018,1,47,31,38,23,25,7
31.03.2018,15,8,1,46,12,48,5
04.04.2018,33,46,13,30,28,23,7
07.04.2018,12,27,47,19,34,15,8
11.04.2018,44,20,25,27,48,9,5
14.04.2018,42,4,34,33,47,9,6
18.04.2018,35,37,7,10,2,4,8
21.04.2018,38,29,12,19,23,15,5
25.04.2018,17,6,11,10,25,4,6
28.04.2018,11,48,2,33,47,9,4
02.05.2018,42,3,5,44,19,12,7
05.05.2018,5,34,49,1,17,31,7
09.05.2018,31,37,43,25,3,9,5
12.05.2018,27,23,38,36,42,29,0
16.05.2018,13,19,12,2,46,34,9
19.05.2018,41,27,44,3,49,4,2
23.05.2018,29,45,16,7,47,36,6
26.05.2018,48,27,24,16,47,10,6
30.05.2018,29,15,35,23,38,48,2
02.06.2018,24,30,1,19,31,10,7
06.06.2018,18,13,3,15,8,42,6
09.06.2018,39,13,34,16,42,35,9
13.06.2018,4,48,3,6,10,46,3
16.06.2018,46,40,19,4,31,33,2
20.06.2018,22,31,33,36,6,43,5
23.06.2018,25,49,29,48,17,6,1
27.06.2018,37,46,13,35,45,17,3
30.06.2018,24,42,40,38,16,37,9
04.07.2018,25,1,37,5,32,10,8
07.07.2018,36,25,13,5,18,2,2
11.07.2018,44,18,3,1,42,28,5
14.07.2018,49,48,41,40,47,30,0
18.07.2018,33,5,14,19,41,22,1
21.07.2018,7,29,6,49,1,20,5
25.07.2018,8,41,9,39,43,40,9
28.07.2018,35,11,7,31,34,36,1
01.08.2018,46,25,22,45,2,32,2
04.08.2018,36,25,29,30,6,31,3
08.08.2018,11,49,8,40,26,18,0
11.08.2018,5,8,47,46,10,36,8
15.08.2018,13,6,31,24,18,29,9
18.08.2018,1,14,46,42,34,3,3
22.08.2018,7,15,16,26,6,32,0
25.08.2018,37,31,8,16,15,20,2
29.08.2018,21,24,3,17,22,39,9
01.09.2018,39,46,4,12,38,21,1
05.09.2018,37,15,9,46,13,3,4
08.09.2018,44,23,29,27,30,6,2
12.09.2018,13,28,7,24,31,32,6
15.09.2018,27,39,26,1,12,14,1
19.09.2018,5,8,3,47,30,19,0
22.09.2018,17,37,41,33,42,47,0
26.09.2018,18,36,44,10,38,25,3
29.09.2018,9,5,19,4,16,45,7
03.10.2018,33,39,9,30,29,3,9
06.10.2018,21,27,45,2,33,26,3
10.10.2018,37,14,32,18,1,45,0
13.10.2018,3,36,7,9,27,11,7
17.10.2018,7,35,20,36,9,24,2
20.10.2018,47,2,16,32,45,13,7
24.10.2018,41,24,37,32,5,13,7
27.10.2018,30,35,47,40,8,38,2
31.10.2018,4,40,13,22,16,6,5
03.11.2018,49,18,20,6,28,42,1
07.11.2018,42,41,15,37,4,31,4
10.11.2018,3,13,14,40,29,41,7
14.11.2018,22,9,31,4,27,41,9
17.11.2018,3,40,31,18,6,39,5
21.11.2018,30,24,29,47,18,42,7
24.11.2018,20,37,15,45,14,40,1
28.11.2018,31,49,48,28,26,23,0
01.12.2018,23,46,31,6,8,27,2
05.12.2018,48,29,49,36,47,13,5
08.12.2018,12,44,26,25,6,46,3
12.12.2018,3,20,7,34,48,33,6
15.12.2018,30,45,31,23,1,37,9
19.12.2018,41,34,19,4,32,12,4
22.12.2018,20,43,25,21,8,44,5
26.12.2018,2,43,30,22,36,16,4
29.12.2018,47,4,14,25,38,44,4
02.01.2019,15,17,36,5,13,19,4
